Age,Percentage,Male,Female
0-14 ,16.73% ,"5,880,026","5,598,611"
15-24 ,13.83%  ,"4,840,303","4,649,589"
25-54 ,46.12%  ,"15,670,881","15,972,254"
55-64,12.35% ,"3,970,979","4,503,647"
65+,10.97%,"3,289,576","4,239,992"
